Generation,Gen Best Score,All Time Max,Max Fitness,Avg Fitness,Lifespan (Seconds),Lifespan (Minutes),DOB,UTC-TimeStamp
67,70,135,3639,816.68,84.25,1.4,09/04/2026,2026-04-08T18:01:58Z
68,119,135,6138,1957.75,142.29,2.37,09/04/2026,2026-04-08T18:04:21Z
69,85,135,4404,1686.0,103.42,1.72,09/04/2026,2026-04-08T18:06:04Z
70,98,135,5067,481.3,116.14,1.94,09/04/2026,2026-04-08T18:08:00Z
71,21,135,1140,529.28,26.6,0.44,09/04/2026,2026-04-08T18:08:27Z
72,58,135,3027,681.51,69.43,1.16,09/04/2026,2026-04-08T18:09:36Z
73,130,135,6699,850.56,153.0,2.55,09/04/2026,2026-04-08T18:12:09Z
74,126,135,6505,533.85,149.11,2.49,09/04/2026,2026-04-08T18:14:39Z
75,80,135,4149,1085.22,95.83,1.6,09/04/2026,2026-04-08T18:16:14Z
76,49,135,2568,788.81,60.14,1.0,09/04/2026,2026-04-08T18:17:14Z
77,112,135,5781,813.73,133.12,2.22,09/04/2026,2026-04-08T18:19:28Z
78,108,135,5577,697.78,129.29,2.15,09/04/2026,2026-04-08T18:21:37Z
79,112,135,5781,1155.19,133.53,2.23,09/04/2026,2026-04-08T18:23:50Z
80,106,135,5475,1932.71,128.15,2.14,09/04/2026,2026-04-08T18:25:59Z
81,101,135,5220,1480.16,121.33,2.02,09/04/2026,2026-04-08T18:28:00Z
82,120,135,6189,990.11,139.05,2.32,09/04/2026,2026-04-08T18:30:19Z
